Season,Team,Avg_Pts,Avg_ELO,Name
2023/24,inter-miami-cf,6.8,76,Drake Callender
2022/23,inter-miami-cf,6.8,74,Drake Callender
2021/22,inter-miami-cf,7,62,Drake Callender
2020/21,inter-miami-ii,3.25,40,Drake Callender
2019/20,inter-miami-cf,0,25,Drake Callender
2018/19,california-golden-bears,5,25,Drake Callender
2023/24,columbus-crew,6.8,76,Patrick Schulte
2022/23,columbus-crew,7.1,72,Patrick Schulte
2021/22,columbus-crew-ii,7,41.5,Patrick Schulte
2020/21,saint-louis-billikens,6.1,32,Patrick Schulte
2018/19,saint-louis,5.6,25,Patrick Schulte
2023/24,nottingham-forest-fc,3.4,72,Matthew Charles Turner
2022/23,arsenal,6.3,71,Matthew Charles Turner
2021/22,new-england-revolution,5.8,73,Matthew Charles Turner
2020/21,new-england-revolution,7,75,Matthew Charles Turner
2019/20,new-england-revolution,7,70,Matthew Charles Turner
2018/19,new-england-revolution,6.8,64,Matthew Charles Turner
2017/18,new-england-revolution,6.6,58,Matthew Charles Turner
2016/17,richmond-kickers,3.3,43.5,Matthew Charles Turner
2015/16,richmond-kickers,6.4,36,Matthew Charles Turner
2023/24,fc-cincinnati,6.4,74,Roman Celentano
2022/23,fc-cincinnati,7.2,72,Roman Celentano
2021/22,fc-cincinnati,6.300000000000001,50.5,Roman Celentano
2020/21,indiana-hoosiers,7.7,39,Roman Celentano
2018/19,indiana-hoosiers,5.9,25,Roman Celentano
2023/24,cardiff-city-fc,3.25,71,Ethan Shea Horvath
2022/23,luton-town-fc,7.1,72,Ethan Shea Horvath
2021/22,nottingham-forest-fc,6.3,54,Ethan Shea Horvath
2020/21,club-brugge,5.4,60,Ethan Shea Horvath
2019/20,club-brugge,6.7,75,Ethan Shea Horvath
2018/19,club-brugge,7.2,75,Ethan Shea Horvath
2017/18,club-brugge,6.9,68,Ethan Shea Horvath
2016/17,club-brugge,6,65,Ethan Shea Horvath
2015/16,molde-fk,6.7,68,Ethan Shea Horvath
2014/15,molde-fk,7.1,65,Ethan Shea Horvath
2013/14,molde-fk,7,30,Ethan Shea Horvath
2012/13,molde-fk,0,25,Ethan Shea Horvath
2023/24,psv,7.8,82,Sergiño Gianni Dest
2022/23,milan,4.5,74,Sergiño Gianni Dest
2021/22,barcelona,5.8,77,Sergiño Gianni Dest
2020/21,barcelona,5.55,73,Sergiño Gianni Dest
2019/20,ajax,6.35,70,Sergiño Gianni Dest
2018/19,jong-ajax,6.75,57,Sergiño Gianni Dest
2017/18,ajax-sub19,6.1,41,Sergiño Gianni Dest
2016/17,ajax-sub-17,7,36,Sergiño Gianni Dest
2023/24,crystal-palace-fc,5.9,69.5,Christopher Jeffrey Richards
2022/23,crystal-palace-fc,5.35,66,Christopher Jeffrey Richards
2021/22,tsg-1899-hoffenheim,5.7,67.5,Christopher Jeffrey Richards
2020/21,tsg-1899-hoffenheim,5.766666666666667,61,Christopher Jeffrey Richards
2019/20,bayern-munchen,5.85,59,Christopher Jeffrey Richards
2018/19,bayern-munchen-sub-19,3.25,42.5,Christopher Jeffrey Richards
2017/18,fc-dallas,0,25,Christopher Jeffrey Richards
2023/24,fulham,6.5,80,Timothy Michael Ream
2022/23,fulham,7,82,Timothy Michael Ream
2021/22,fulham,7.3,74,Timothy Michael Ream
2020/21,fulham,5.8,74,Timothy Michael Ream
2019/20,fulham,7,75,Timothy Michael Ream
2018/19,fulham,6.1,74,Timothy Michael Ream
2017/18,fulham,7.1,74,Timothy Michael Ream
2016/17,fulham,6.6,70,Timothy Michael Ream
2015/16,fulham,6.1,70,Timothy Michael Ream
2014/15,bolton-wanderers-fc,6.6,71,Timothy Michael Ream
2013/14,bolton-wanderers-fc,6.1,63.5,Timothy Michael Ream
2012/13,bolton-wanderers-fc,5.65,65.5,Timothy Michael Ream
2011/12,bolton-wanderers-fc,6.3,68,Timothy Michael Ream
2010/11,red-bull-new-york,6.9,66,Timothy Michael Ream
2009/10,red-bull-new-york,7.2,61,Timothy Michael Ream
2023/24,red-bull-new-york,5.7,76,John Michael Tolkin
2022/23,red-bull-new-york,7.4,78,John Michael Tolkin
2021/22,red-bull-new-york,7,71,John Michael Tolkin
2020/21,red-bull-new-york,5.9,50,John Michael Tolkin
2019/20,new-york-red-bulls-ii,2.75,36,John Michael Tolkin
2018/19,new-york-red-bulls-ii,5.8,36,John Michael Tolkin
2023/24,fc-cincinnati,6.6,76,Miles Gordon Robinson
2022/23,atlanta-united-fc,7.1,75,Miles Gordon Robinson
2021/22,atlanta-united-fc,5.8,74,Miles Gordon Robinson
2020/21,atlanta-united-fc,7.2,76,Miles Gordon Robinson
2019/20,atlanta-united-fc,6.1,66,Miles Gordon Robinson
2018/19,atlanta-united-fc,7,69,Miles Gordon Robinson
2017/18,atlanta-united-fc,5.85,46,Miles Gordon Robinson
2016/17,charleston-battery,5.45,35,Miles Gordon Robinson
2023/24,borussia-monchengla,6.4,76,Joseph Michael Scally
2022/23,borussia-monchengla,6.6,73,Joseph Michael Scally
2021/22,borussia-monchengla,5.8,68,Joseph Michael Scally
2020/21,borussia-monchengladbach-ii,6,41,Joseph Michael Scally
2019/20,new-york-city,4.4,34,Joseph Michael Scally
2017/18,new-york-city,4,25,Joseph Michael Scally
2023/24,philadelphia-union,5.8,75,Nathan Harriel
2022/23,philadelphia-union,6.5,73,Nathan Harriel
2021/22,bethlehem-steel,6.9,63.5,Nathan Harriel
2020/21,philadelphia-union,4.9,41,Nathan Harriel
2019/20,bethlehem-steel,5.8,42,Nathan Harriel
2018/19,bethlehem-steel,5.8,39,Nathan Harriel
2023/24,nashville-sc,5.8,76,Shaquell Kwame Moore
2022/23,nashville-sc,6.9,77,Shaquell Kwame Moore
2021/22,nashville-sc,6.05,68.5,Shaquell Kwame Moore
2020/21,tenerife,6.6,69,Shaquell Kwame Moore
2019/20,tenerife,6.6,65,Shaquell Kwame Moore
2018/19,levante,4.233333333333333,60.333333333333336,Shaquell Kwame Moore
2017/18,levante,6.35,57.5,Shaquell Kwame Moore
2016/17,levante-b,6.7,52,Shaquell Kwame Moore
2015/16,real-oviedo-b,6.3,39.5,Shaquell Kwame Moore
2013/14,dallas-reservas,4.1,25,Shaquell Kwame Moore
2023/24,new-england-revolution,5.7,74,DeJuan Jones
2022/23,new-england-revolution,7,75,DeJuan Jones
2021/22,new-england-revolution,6.8,74,DeJuan Jones
2020/21,new-england-revolution,7.2,71,DeJuan Jones
2019/20,new-england-revolution,6.2,59,DeJuan Jones
2018/19,new-england-revolution,6.2,53,DeJuan Jones
2023/24,celtic-fc,6.9,76,Cameron Carter-Vickers
2022/23,celtic-fc,7.7,78,Cameron Carter-Vickers
2021/22,celtic-fc,6.199999999999999,73,Cameron Carter-Vickers
2020/21,afc-bournemouth,3.4,66,Cameron Carter-Vickers
2019/20,luton-town-fc,6.4,65.5,Cameron Carter-Vickers
2018/19,swansea-city-afc,6,68,Cameron Carter-Vickers
2017/18,ipswich-town-fc,4.633333333333334,55.666666666666664,Cameron Carter-Vickers
2016/17,tottenham-hotspur-sub21,5.733333333333333,42.333333333333336,Cameron Carter-Vickers
2015/16,tottenham-hotspur-fc,3.05,42,Cameron Carter-Vickers
2014/15,tottenham-hotspur-sub21,5.699999999999999,38,Cameron Carter-Vickers
2023/24,palermo,6.5,72.5,Kristoffer Lund Hansen
2022/23,hacken,7.3,71,Kristoffer Lund Hansen
2021/22,hacken,3.5,55.5,Kristoffer Lund Hansen
2020/21,hacken,5.9,47.5,Kristoffer Lund Hansen
2019/20,midtjylland-sub19,5.550000000000001,39.5,Kristoffer Lund Hansen
2018/19,midtjylland-sub19,6.25,37.5,Kristoffer Lund Hansen
2017/18,midtylland-sub17,6,34,Kristoffer Lund Hansen
2023/24,atlanta-united-fc,6.3,72,Caleb Ryan Wiley
2022/23,atlanta-united-fc,6.7,71,Caleb Ryan Wiley
2021/22,atlanta-united-fc,5.7,54,Caleb Ryan Wiley
2020/21,atlanta-united-ii,6.2,43,Caleb Ryan Wiley
2019/20,atlanta-united-ii,5.9,38,Caleb Ryan Wiley
2023/24,fc-dallas,5.3,72,Nkosi Tafari Burgess
2022/23,fc-dallas,6.9,72,Nkosi Tafari Burgess
2021/22,fc-dallas,5.5,58,Nkosi Tafari Burgess
2020/21,north-texas,6.6,56.5,Nkosi Tafari Burgess
2019/20,north-texas,3.4,31.5,Nkosi Tafari Burgess
2018/19,seattle-redhawks,5.6,25,Nkosi Tafari Burgess
2023/24,fc-cincinnati,5.7,70,Ian Murphy
2022/23,fc-cincinnati,5.55,60,Ian Murphy
2021/22,fc-cincinnati,5.8,46.666666666666664,Ian Murphy
2020/21,duke-blue-devils,5.3,30,Ian Murphy
2023/24,wolfsburg,5.5,65,Kevin Alexander Paredes
2022/23,wolfsburg,4.6,56,Kevin Alexander Paredes
2021/22,wolfsburg,4.3,57,Kevin Alexander Paredes
2020/21,dc-united,6.7,59,Kevin Alexander Paredes
2019/20,loudoun-united,5.3,35,Kevin Alexander Paredes
2018/19,loudoun-united,4.6,25,Kevin Alexander Paredes
2023/24,juventus-fc,6.8,84,Weston James Earl McKennie
2022/23,leeds-united-afc,6.05,77,Weston James Earl McKennie
2021/22,juventus-fc,6.3,78,Weston James Earl McKennie
2020/21,juventus-fc,6.1,74,Weston James Earl McKennie
2019/20,schalke-04,6,72,Weston James Earl McKennie
2018/19,schalke-04,6.3,71,Weston James Earl McKennie
2017/18,schalke-04,5.6,60,Weston James Earl McKennie
