"name","season","competition","appearances","goals","cards","player_profile_links","Birthdate (Age)","BirthPlace","Nationality","Height","Position","Player_ID"
"antonee robinson","2023/24","Premier League","34","-","6","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2023/24","FA Cup","2","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2023/24","EFL Cup","5","-","1","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2022/23","Premier League","35","-","1","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2022/23","FA Cup","3","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2021/22","Championship","36","2","4","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2021/22","FA Cup","-","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2021/22","EFL Cup","1","1","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2020/21","Premier League","28","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2020/21","FA Cup","1","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2020/21","EFL Cup","3","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2019/20","Championship","38","1","1","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
"antonee robinson","2019/20","FA Cup","1","-","-","https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701","Aug 8, 1997 (26)","Milton Keynes","United States","1,83 m","Left-Back",349701
